rank,student_id,score,s_score,proportion,grade
324 = 341,312701095,66,679,96.34,B
324 = 341,312700190,66,679,96.34,B
324 = 341,312701302,66,679,96.34,B
324 = 341,312700253,66,679,96.34,B
324 = 341,312901473,66,679,96.34,B
324 = 341,312900295,66,679,96.34,B
342 = 362,312901551,65,677,96.12,B
342 = 362,312900152,65,677,96.12,B
342 = 362,312901489,65,677,96.12,B
342 = 362,312900908,65,677,96.12,B
342 = 362,312701024,65,677,96.12,B
342 = 362,312700964,65,677,96.12,B
342 = 362,313000071,65,677,96.12,B
342 = 362,312300009,65,677,96.12,B
342 = 362,312401269,65,677,96.12,B
342 = 362,312400889,65,677,96.12,B
342 = 362,312800197,65,677,96.12,B
342 = 362,312800310,65,677,96.12,B
342 = 362,312800974,65,677,96.12,B
342 = 362,312801454,65,677,96.12,B
342 = 362,312801755,65,677,96.12,B
342 = 362,312801852,65,677,96.12,B
342 = 362,312502379,65,677,96.12,B
342 = 362,312502553,65,677,96.12,B
342 = 362,312502435,65,677,96.12,B
342 = 362,312500904,65,677,96.12,B
342 = 362,312502855,65,677,96.12,B
363 = 385,312500127,64,674,95.87,B
363 = 385,312502709,64,674,95.87,B
363 = 385,312501385,64,674,95.87,B
363 = 385,312501413,64,674,95.87,B
363 = 385,312501934,64,674,95.87,B
363 = 385,312503602,64,674,95.87,B
363 = 385,312502466,64,674,95.87,B
363 = 385,312800525,64,674,95.87,B
363 = 385,312802201,64,674,95.87,B
363 = 385,312800260,64,674,95.87,B
363 = 385,312800152,64,674,95.87,B
363 = 385,312802087,64,674,95.87,B
363 = 385,312801940,64,674,95.87,B
363 = 385,312800061,64,674,95.87,B
363 = 385,312800344,64,674,95.87,B
363 = 385,312800358,64,674,95.87,B
363 = 385,312401760,64,674,95.87,B
363 = 385,312401912,64,674,95.87,B
363 = 385,313000439,64,674,95.87,B
363 = 385,313100696,64,674,95.87,B
363 = 385,312700997,64,674,95.87,B
363 = 385,312701420,64,674,95.87,B
363 = 385,312900643,64,674,95.87,B
386 = 410,312900628,63,671,95.61,B
386 = 410,312901167,63,671,95.61,B
386 = 410,312900457,63,671,95.61,B
386 = 410,312701422,63,671,95.61,B
386 = 410,312701006,63,671,95.61,B
386 = 410,312701781,63,671,95.61,B
386 = 410,312700036,63,671,95.61,B
386 = 410,313000332,63,671,95.61,B
386 = 410,313000915,63,671,95.61,B
386 = 410,312401607,63,671,95.61,B
386 = 410,312401347,63,671,95.61,B
386 = 410,312800022,63,671,95.61,B
386 = 410,312800039,63,671,95.61,B
386 = 410,312800437,63,671,95.61,B
386 = 410,312800268,63,671,95.61,B
386 = 410,312801536,63,671,95.61,B
386 = 410,312502536,63,671,95.61,B
386 = 410,312503530,63,671,95.61,B
386 = 410,312500971,63,671,95.61,B
386 = 410,312501073,63,671,95.61,B
386 = 410,312502238,63,671,95.61,B
386 = 410,312503214,63,671,95.61,B
386 = 410,312503727,63,671,95.61,B
386 = 410,312501518,63,671,95.61,B
386 = 410,312500331,63,671,95.61,B
411 = 427,312500289,62,668,95.39,B
411 = 427,312501373,62,668,95.39,B
411 = 427,312501556,62,668,95.39,B
411 = 427,312502632,62,668,95.39,B
411 = 427,312502395,62,668,95.39,B
