rank,student_id,score,s_score,proportion,grade
548 = 593,312502162,69,641,92.14,B-
548 = 593,312701411,69,641,92.14,B-
548 = 593,312700628,69,641,92.14,B-
548 = 593,312701161,69,641,92.14,B-
548 = 593,312700937,69,641,92.14,B-
548 = 593,312701946,69,641,92.14,B-
548 = 593,312701700,69,641,92.14,B-
548 = 593,312700308,69,641,92.14,B-
548 = 593,312701687,69,641,92.14,B-
548 = 593,312700408,69,641,92.14,B-
548 = 593,312401044,69,641,92.14,B-
548 = 593,312400974,69,641,92.14,B-
548 = 593,312401163,69,641,92.14,B-
548 = 593,312401182,69,641,92.14,B-
548 = 593,312401955,69,641,92.14,B-
548 = 593,312401531,69,641,92.14,B-
594 = 624,312401657,68,638,91.57,B-
594 = 624,312401975,68,638,91.57,B-
594 = 624,312400417,68,638,91.57,B-
594 = 624,312401042,68,638,91.57,B-
594 = 624,312402043,68,638,91.57,B-
594 = 624,312400267,68,638,91.57,B-
594 = 624,312400587,68,638,91.57,B-
594 = 624,312701855,68,638,91.57,B-
594 = 624,312701280,68,638,91.57,B-
594 = 624,312701194,68,638,91.57,B-
594 = 624,312701244,68,638,91.57,B-
594 = 624,312701220,68,638,91.57,B-
594 = 624,312701033,68,638,91.57,B-
594 = 624,312500376,68,638,91.57,B-
594 = 624,312501449,68,638,91.57,B-
594 = 624,312500040,68,638,91.57,B-
594 = 624,312500054,68,638,91.57,B-
594 = 624,312500458,68,638,91.57,B-
594 = 624,312502523,68,638,91.57,B-
594 = 624,312502609,68,638,91.57,B-
594 = 624,312600262,68,638,91.57,B-
594 = 624,312600221,68,638,91.57,B-
594 = 624,313103566,68,638,91.57,B-
594 = 624,312800045,68,638,91.57,B-
594 = 624,312800863,68,638,91.57,B-
594 = 624,312802342,68,638,91.57,B-
594 = 624,312800380,68,638,91.57,B-
594 = 624,313000589,68,638,91.57,B-
594 = 624,313000597,68,638,91.57,B-
594 = 624,313001310,68,638,91.57,B-
594 = 624,312900567,68,638,91.57,B-
625 = 664,312900347,67,634,91.01,B-
625 = 664,312900446,67,634,91.01,B-
625 = 664,312900124,67,634,91.01,B-
625 = 664,312900522,67,634,91.01,B-
625 = 664,313000961,67,634,91.01,B-
625 = 664,313000948,67,634,91.01,B-
625 = 664,313000885,67,634,91.01,B-
625 = 664,313000803,67,634,91.01,B-
625 = 664,312800487,67,634,91.01,B-
625 = 664,312801994,67,634,91.01,B-
625 = 664,312802073,67,634,91.01,B-
625 = 664,312801202,67,634,91.01,B-
625 = 664,312801718,67,634,91.01,B-
625 = 664,312800268,67,634,91.01,B-
625 = 664,312801387,67,634,91.01,B-
625 = 664,312600253,67,634,91.01,B-
625 = 664,312600156,67,634,91.01,B-
625 = 664,312502580,67,634,91.01,B-
625 = 664,312503801,67,634,91.01,B-
625 = 664,312500669,67,634,91.01,B-
625 = 664,312502550,67,634,91.01,B-
625 = 664,312800172,67,634,91.01,B-
625 = 664,312500187,67,634,91.01,B-
625 = 664,312501177,67,634,91.01,B-
625 = 664,312501348,67,634,91.01,B-
625 = 664,312501507,67,634,91.01,B-
625 = 664,312502114,67,634,91.01,B-
625 = 664,312502282,67,634,91.01,B-
625 = 664,312701218,67,634,91.01,B-
625 = 664,312701178,67,634,91.01,B-
625 = 664,312701279,67,634,91.01,B-
625 = 664,312701575,67,634,91.01,B-
625 = 664,312701626,67,634,91.01,B-
625 = 664,312700031,67,634,91.01,B-
625 = 664,312400548,67,634,91.01,B-
625 = 664,312402025,67,634,91.01,B-
625 = 664,312400812,67,634,91.01,B-
625 = 664,312400781,67,634,91.01,B-
625 = 664,312401094,67,634,91.01,B-
625 = 664,312401542,67,634,91.01,B-
665 = 716,312402081,66,630,90.39,B-
665 = 716,312402155,66,630,90.39,B-
665 = 716,312400675,66,630,90.39,B-
665 = 716,312400361,66,630,90.39,B-
665 = 716,312401168,66,630,90.39,B-
665 = 716,312700259,66,630,90.39,B-
665 = 716,312700193,66,630,90.39,B-
665 = 716,312701852,66,630,90.39,B-
665 = 716,312701841,66,630,90.39,B-
665 = 716,312700315,66,630,90.39,B-
665 = 716,312701721,66,630,90.39,B-
665 = 716,312701866,66,630,90.39,B-
665 = 716,312701212,66,630,90.39,B-
665 = 716,312701012,66,630,90.39,B-
