rank,student_id,score,s_score,proportion,grade
364 = 418,312503106,84,696,97.49,B
364 = 418,312502984,84,696,97.49,B
364 = 418,312500399,84,696,97.49,B
364 = 418,312500479,84,696,97.49,B
364 = 418,312400869,84,696,97.49,B
364 = 418,312401037,84,696,97.49,B
364 = 418,312402041,84,696,97.49,B
364 = 418,312401444,84,696,97.49,B
364 = 418,312401903,84,696,97.49,B
364 = 418,312401976,84,696,97.49,B
364 = 418,312400418,84,696,97.49,B
364 = 418,312401314,84,696,97.49,B
364 = 418,312400144,84,696,97.49,B
364 = 418,312400268,84,696,97.49,B
364 = 418,312901519,84,696,97.49,B
364 = 418,312901203,84,696,97.49,B
364 = 418,312900243,84,696,97.49,B
364 = 418,312900454,84,696,97.49,B
364 = 418,312900477,84,696,97.49,B
364 = 418,312900403,84,696,97.49,B
364 = 418,312900182,84,696,97.49,B
364 = 418,313000914,84,696,97.49,B
364 = 418,313000210,84,696,97.49,B
364 = 418,313000769,84,696,97.49,B
364 = 418,312800304,84,696,97.49,B
364 = 418,312801031,84,696,97.49,B
364 = 418,312800316,84,696,97.49,B
364 = 418,312800971,84,696,97.49,B
364 = 418,312800205,84,696,97.49,B
364 = 418,312801857,84,696,97.49,B
364 = 418,312800749,84,696,97.49,B
364 = 418,312800743,84,696,97.49,B
364 = 418,312800450,84,696,97.49,B
364 = 418,312801687,84,696,97.49,B
364 = 418,312801725,84,696,97.49,B
364 = 418,312802230,84,696,97.49,B
364 = 418,312801170,84,696,97.49,B
364 = 418,312801936,84,696,97.49,B
364 = 418,312801976,84,696,97.49,B
364 = 418,312801360,84,696,97.49,B
364 = 418,312801261,84,696,97.49,B
364 = 418,312700565,84,696,97.49,B
364 = 418,312700703,84,696,97.49,B
364 = 418,312700497,84,696,97.49,B
419 = 480,312701437,83,690,97.11,B
419 = 480,312801382,83,690,97.11,B
419 = 480,312801426,83,690,97.11,B
419 = 480,312801997,83,690,97.11,B
419 = 480,312801167,83,690,97.11,B
419 = 480,312802235,83,690,97.11,B
419 = 480,312802243,83,690,97.11,B
419 = 480,312802143,83,690,97.11,B
419 = 480,312802145,83,690,97.11,B
419 = 480,312800439,83,690,97.11,B
419 = 480,312801745,83,690,97.11,B
419 = 480,312800512,83,690,97.11,B
419 = 480,312800590,83,690,97.11,B
419 = 480,312801755,83,690,97.11,B
419 = 480,312801924,83,690,97.11,B
419 = 480,312800850,83,690,97.11,B
419 = 480,312800030,83,690,97.11,B
419 = 480,312800964,83,690,97.11,B
419 = 480,312801038,83,690,97.11,B
419 = 480,312800391,83,690,97.11,B
419 = 480,313000768,83,690,97.11,B
419 = 480,313001085,83,690,97.11,B
419 = 480,313000076,83,690,97.11,B
419 = 480,313001175,83,690,97.11,B
419 = 480,312900097,83,690,97.11,B
419 = 480,312901624,83,690,97.11,B
419 = 480,312900302,83,690,97.11,B
419 = 480,312900313,83,690,97.11,B
419 = 480,312900367,83,690,97.11,B
419 = 480,312901325,83,690,97.11,B
419 = 480,312901569,83,690,97.11,B
419 = 480,312900768,83,690,97.11,B
419 = 480,312400261,83,690,97.11,B
419 = 480,312401309,83,690,97.11,B
419 = 480,312401797,83,690,97.11,B
419 = 480,312401520,83,690,97.11,B
419 = 480,312402104,83,690,97.11,B
419 = 480,312402074,83,690,97.11,B
419 = 480,312401137,83,690,97.11,B
419 = 480,312400940,83,690,97.11,B
419 = 480,313103646,83,690,97.11,B
419 = 480,312500061,83,690,97.11,B
419 = 480,312500075,83,690,97.11,B
419 = 480,312500384,83,690,97.11,B
419 = 480,312503000,83,690,97.11,B
419 = 480,312503132,83,690,97.11,B
419 = 480,312502786,83,690,97.11,B
419 = 480,312502931,83,690,97.11,B
419 = 480,312500114,83,690,97.11,B
419 = 480,312501848,83,690,97.11,B
419 = 480,312501800,83,690,97.11,B
419 = 480,312501801,83,690,97.11,B
419 = 480,312501944,83,690,97.11,B
419 = 480,312502262,83,690,97.11,B
419 = 480,312503810,83,690,97.11,B
419 = 480,312500871,83,690,97.11,B
419 = 480,312503856,83,690,97.11,B
419 = 480,312502382,83,690,97.11,B
419 = 480,312500601,83,690,97.11,B
419 = 480,312500550,83,690,97.11,B
419 = 480,312503265,83,690,97.11,B
419 = 480,312503287,83,690,97.11,B
481 = 544,312503490,82,684,96.7,B
481 = 544,312500524,82,684,96.7,B
481 = 544,312502361,82,684,96.7,B
481 = 544,312503855,82,684,96.7,B
481 = 544,312500921,82,684,96.7,B
481 = 544,312502686,82,684,96.7,B
481 = 544,312502225,82,684,96.7,B
481 = 544,312502089,82,684,96.7,B
481 = 544,312501945,82,684,96.7,B
481 = 544,312501960,82,684,96.7,B
481 = 544,312501965,82,684,96.7,B
481 = 544,312501851,82,684,96.7,B
481 = 544,312501532,82,684,96.7,B
481 = 544,312502714,82,684,96.7,B
481 = 544,312503007,82,684,96.7,B
481 = 544,312503056,82,684,96.7,B
481 = 544,312501045,82,684,96.7,B
481 = 544,312500427,82,684,96.7,B
